ID,host,created_at,lifecycle_stage,cluster
57d007b7-4329-4ee0-acf1-11928e2fa357,test-franceconnect.stg.citizenlab.co,2019-02-28 10:45:15 UTC,demo,STG
e0cd8f8b-4513-43cd-a6d6-2184416ba38e,en-template.stg.citizenlab.co,2018-08-10 11:45:48 UTC,demo,STG
c7e20cb9-f253-4c0c-aea1-e6e3c23c04c7,demo.stg.citizenlab.co,2017-10-16 12:43:15 UTC,demo,STG
68f97b05-7b6f-44ce-81ed-6bc1846f54db,product.stg.citizenlab.co,2019-03-23 13:59:39 UTC,demo,STG
ab898fc2-576d-4128-85f3-96bb90d19c90,q3.stg.citizenlab.co,2019-01-17 12:33:55 UTC,demo,STG
7b2033dd-9c21-45f4-96d9-c0b16e7ae201,e2etests-template.stg.citizenlab.co,2018-08-10 13:32:49 UTC,demo,STG
b707c294-2340-4a60-a6b1-033594c65afb,en2-template.stg.citizenlab.co,2018-08-10 12:44:12 UTC,demo,STG
046404ec-7611-4e30-b5ce-d423b23886b9,pa11y.stg.citizenlab.co,2021-06-13 15:48:51 UTC,demo,STG
facd0dbc-dca3-45eb-8984-af866d1e525d,french.stg.citizenlab.co,2018-02-02 09:35:44 UTC,demo,STG
01ff995f-b87a-4112-bad0-310fac57f8c3,osa.stg.citizenlab.co,2018-10-01 15:30:28 UTC,demo,STG
98149acd-d7f2-4a4c-92c2-bd06be614df6,demo28.stg.citizenlab.co,2017-12-11 13:47:32 UTC,demo,STG
e38cd088-fbe5-422d-8dbe-f789be86a851,localhost,2020-03-28 13:59:52 UTC,demo,STG
8b20fc83-94ad-48ab-b212-66a0b00e82ac,demo-sarah.citizenlab.co,2023-09-04 13:29:10 UTC,demo,USW
dc8df4a3-0e75-437a-b62e-00376150b120,aacids.citizenlab.co,2023-01-20 20:04:41 UTC,active,USW
92805e22-2739-4cdb-a11a-c3a918082d38,engage.hellamtownship.com,2022-12-19 12:34:02 UTC,active,USW
6e055292-9dcd-4761-9a35-12e765e71956,connectingtocongress.citizenlab.co,2021-06-29 08:46:45 UTC,active,USW
2787ddd4-ceec-4ed0-96cb-5984302bdf81,rochester-demo.citizenlab.co,2021-11-12 17:13:26 UTC,demo,USW
26648212-f6ff-4263-872f-ea8c70ed91d1,citizenlab.seattle.gov,2020-03-04 10:02:41 UTC,active,USW
aa4f088c-560e-48be-8226-d892d98b3f63,engagesanderscounty.citizenlab.co,2023-08-11 15:01:17 UTC,demo,USW
7b575ae5-2875-484e-af2e-a392fcce5fdb,kalamazoo-demo.citizenlab.co,2022-01-07 18:37:35 UTC,demo,USW
6ed3ca0b-539d-42db-aac2-ac33a12d4af1,demo-torontoward18.citizenlab.co,2023-08-10 20:52:24 UTC,demo,USW
718bbf8c-df56-4007-95db-56f91412692a,demo-mwcog.citizenlab.co,2023-08-07 22:07:52 UTC,demo,USW
c51e6132-a44b-432f-8415-2692b964f953,rockville-demo.citizenlab.co,2021-09-23 21:11:49 UTC,demo,USW
b26f2806-ff7e-4941-90fc-af65d6415824,demo-chattanooga.citizenlab.co,2023-08-15 18:04:23 UTC,demo,USW
50885759-4a76-43b7-920d-3723946a1030,northlea.citizenlab.co,2022-12-15 19:05:01 UTC,active,USW
8ebba46b-2d47-4cf5-9bbc-ca2808141f4f,portland-trial.citizenlab.co,2021-03-13 20:55:45 UTC,demo,USW
