ID,Host,Lifecycle Stage,Created At,Response
56d426ef-922c-4944-9e3d-da947269a330,lab.pnud.org.pe,active,2021-03-01T11:04:08.707899,56d426ef-922c-4944-9e3d-da947269a330,SocketError: Failed to open TCP connection to lab.pnud.org.pe:443 (getaddrinfo: nodename nor servname provided, or not known)
6a617c19-ec47-47e6-92d1-6dac4bd9062c,novalima.citizenlab.co,active,2022-09-07T13:54:16.787839,6a617c19-ec47-47e6-92d1-6dac4bd9062c,SocketError: Failed to open TCP connection to novalima.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
eb7990e2-d3cf-48fc-9006-1ee1d3a8f7ec,publicoescazu.cepal.org,active,2022-08-08T15:51:18.204795,eb7990e2-d3cf-48fc-9006-1ee1d3a8f7ec,SocketError: Failed to open TCP connection to publicoescazu.cepal.org:443 (getaddrinfo: nodename nor servname provided, or not known)
2331988f-5776-44b0-be7e-2a382690b96e,penalolenmascerca.cl,churned,2019-05-31T12:56:42.317393,2331988f-5776-44b0-be7e-2a382690b96e,SocketError: Failed to open TCP connection to penalolenmascerca.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
d0901bb6-ff6b-47f8-b7e1-f55361fe28b9,constitucion.citizenlab.co,churned,2019-12-11T22:13:29.995838,d0901bb6-ff6b-47f8-b7e1-f55361fe28b9,SocketError: Failed to open TCP connection to constitucion.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
789f9e9c-e6ad-41fc-bba8-a8fde4b45439,conectajusticia.minjusticia.gob.cl,churned,2019-12-17T17:20:52.417608,789f9e9c-e6ad-41fc-bba8-a8fde4b45439,SocketError: Failed to open TCP connection to conectajusticia.minjusticia.gob.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
fa39ea65-fff3-4c31-817d-edb92fce4037,mopchile.citizenlab.co,churned,2021-11-05T18:51:40.024544,fa39ea65-fff3-4c31-817d-edb92fce4037,SocketError: Failed to open TCP connection to mopchile.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
81715362-a820-4ab3-84ee-e715bdae5f38,nuestravozimporta.cl,churned,2021-03-12T03:26:03.420273,81715362-a820-4ab3-84ee-e715bdae5f38,SocketError: Failed to open TCP connection to nuestravozimporta.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
aa2b0b3c-c7c0-4987-a185-e7d233ddf76c,acerca-redes.citizenlab.co,churned,2020-06-04T19:36:46.648851,aa2b0b3c-c7c0-4987-a185-e7d233ddf76c,SocketError: Failed to open TCP connection to acerca-redes.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
aded0d52-4571-45b7-bd7a-689975b370dc,municipiosenpandemia.citizenlab.co,churned,2020-07-03T00:50:28.818498,aded0d52-4571-45b7-bd7a-689975b370dc,SocketError: Failed to open TCP connection to municipiosenpandemia.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
a4e4d34b-b6ee-40a0-a8a0-388a861048af,participanoneutrales.cl,churned,2020-10-27T21:41:20.854443,a4e4d34b-b6ee-40a0-a8a0-388a861048af,SocketError: Failed to open TCP connection to participanoneutrales.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
486973fd-52a5-467b-9f26-67e969a0578e,talca.citizenlab.co,churned,2021-09-27T14:06:08.687952,486973fd-52a5-467b-9f26-67e969a0578e,SocketError: Failed to open TCP connection to talca.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
bd1273cf-2acf-4454-b7e9-2da1eeda082a,conectados.citizenlab.co,churned,2019-04-17T14:46:23.577563,bd1273cf-2acf-4454-b7e9-2da1eeda082a,SocketError: Failed to open TCP connection to conectados.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
3e02ca0f-aeee-4e4d-8587-3e2d73086f4b,san-esteban.citizenlab.co,churned,2019-12-11T22:16:43.177199,3e02ca0f-aeee-4e4d-8587-3e2d73086f4b,SocketError: Failed to open TCP connection to san-esteban.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
4b9bd65d-869e-4dc6-aafb-ced732ae2f57,agendadigitalrd.citizenlab.co,churned,2020-12-10T14:49:54.863958,4b9bd65d-869e-4dc6-aafb-ced732ae2f57,SocketError: Failed to open TCP connection to agendadigitalrd.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
d7f2212d-cc1d-474b-879e-4d4a9714b635,san-bernardo.citizenlab.co,churned,2019-12-11T16:38:30.960578,d7f2212d-cc1d-474b-879e-4d4a9714b635,SocketError: Failed to open TCP connection to san-bernardo.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
